,ALFAA,ALFAA,ALFAA,AMXL,AMXL,AMXL,BIMBOA,BIMBOA,BIMBOA,CEMEXCPO,CEMEXCPO,CEMEXCPO,FEMSAUBD,FEMSAUBD,FEMSAUBD,WALMEX,WALMEX,WALMEX
MC,R_i,S_0,put,R_i,S_0,put,R_i,S_0,put,R_i,S_0,put,R_i,S_0,put,R_i,S_0,put
1,-0.08,14.84,1.79,-0.03,14.91,1.23,0.01,35.62,3.12,-0.03,6.92,0.60,-0.04,174.98,12.01,0.06,58.56,5.80
2,0.06,17.14,1.94,0.07,16.49,1.72,0.03,36.47,3.36,0.06,7.58,0.75,0.02,185.21,12.93,-0.02,53.97,4.46
3,-0.10,14.69,1.86,-0.02,15.06,1.23,0.00,35.44,3.09,0.00,7.17,0.60,0.04,188.11,14.15,-0.05,52.64,4.61
4,0.05,16.96,1.86,0.03,15.76,1.36,0.01,35.89,3.17,0.00,7.14,0.60,0.03,187.36,13.78,-0.01,54.49,4.48
5,0.06,17.18,1.96,0.07,16.43,1.69,-0.09,32.27,3.63,-0.07,6.69,0.65,0.08,195.89,19.00,0.03,56.97,5.03
6,-0.08,14.91,1.77,-0.04,14.74,1.25,-0.04,34.02,3.07,-0.06,6.74,0.63,-0.04,174.33,12.14,-0.03,53.60,4.47
7,-0.06,15.22,1.68,-0.03,14.86,1.24,-0.03,34.36,3.03,-0.02,6.99,0.59,-0.01,179.84,11.75,0.05,58.00,5.50
8,-0.06,15.27,1.67,-0.01,15.19,1.23,0.01,35.66,3.13,0.02,7.31,0.63,-0.06,170.77,13.29,0.09,60.53,7.08
9,-0.10,14.59,1.91,-0.03,14.83,1.24,-0.03,34.41,3.03,-0.07,6.69,0.65,-0.05,172.57,12.63,-0.02,54.22,4.47
10,0.12,18.22,2.61,0.04,15.97,1.44,0.07,37.94,4.07,-0.03,6.93,0.59,0.05,189.90,15.06,0.08,59.54,6.39
11,-0.11,14.44,1.98,-0.07,14.31,1.37,-0.06,33.29,3.23,0.02,7.34,0.64,-0.01,178.86,11.70,0.02,56.40,4.84
12,0.12,18.13,2.54,0.04,16.01,1.46,0.08,38.42,4.36,0.00,7.15,0.60,0.04,189.18,14.67,-0.05,52.61,4.61
13,0.08,17.53,2.15,-0.02,15.08,1.23,0.00,35.50,3.10,0.00,7.18,0.60,-0.03,175.99,11.86,0.00,54.90,4.51
14,0.04,16.77,1.78,-0.07,14.31,1.37,0.03,36.40,3.33,0.03,7.40,0.66,-0.05,173.41,12.39,-0.06,51.78,4.84
15,0.00,16.23,1.64,-0.06,14.38,1.35,0.00,35.37,3.08,-0.08,6.60,0.69,-0.07,169.71,13.74,-0.02,54.03,4.46
16,0.05,17.04,1.89,0.07,16.37,1.65,-0.04,34.00,3.08,0.04,7.42,0.67,-0.02,177.99,11.69,-0.01,54.65,4.48
17,-0.01,15.99,1.61,0.03,15.78,1.37,-0.08,32.66,3.46,-0.01,7.10,0.59,0.00,181.04,11.87,0.00,55.15,4.54
18,0.09,17.68,2.24,0.01,15.53,1.29,-0.01,35.01,3.03,0.03,7.39,0.66,0.00,180.96,11.86,0.04,57.17,5.11
19,-0.14,14.11,2.17,-0.07,14.23,1.40,-0.06,33.38,3.21,-0.02,7.05,0.59,-0.05,172.99,12.51,-0.01,54.30,4.47
20,0.04,16.80,1.79,0.00,15.35,1.25,0.07,37.93,4.07,-0.03,6.95,0.59,-0.03,176.30,11.83,0.06,58.36,5.69
21,0.03,16.71,1.76,-0.07,14.24,1.40,0.01,35.89,3.17,-0.03,6.92,0.60,0.01,182.43,12.14,0.01,55.65,4.64
22,0.05,16.93,1.85,0.07,16.46,1.70,0.00,35.24,3.06,0.02,7.29,0.63,0.07,194.26,17.83,0.02,56.14,4.76
23,-0.04,15.47,1.63,-0.08,14.09,1.46,0.03,36.29,3.30,0.00,7.13,0.60,-0.03,175.55,11.92,0.03,56.83,4.99
24,0.12,18.22,2.60,0.06,16.34,1.64,-0.01,34.95,3.03,0.00,7.16,0.60,0.07,193.91,17.59,0.01,55.53,4.61
25,0.02,16.41,1.67,0.00,15.26,1.24,-0.03,34.21,3.05,0.05,7.50,0.71,-0.02,178.66,11.70,0.06,58.62,5.83
26,0.03,16.64,1.74,0.02,15.58,1.30,0.02,35.91,3.18,-0.05,6.84,0.61,-0.02,178.08,11.69,0.03,57.04,5.05
27,0.05,16.92,1.84,-0.02,15.09,1.23,0.03,36.48,3.36,0.00,7.14,0.60,-0.06,170.60,13.36,-0.01,54.73,4.48
28,-0.12,14.34,2.04,0.03,15.74,1.35,-0.03,34.31,3.03,-0.01,7.07,0.59,0.02,184.66,12.74,-0.05,52.55,4.62
29,-0.01,15.97,1.61,0.03,15.82,1.38,0.07,37.99,4.10,-0.02,7.01,0.59,-0.01,179.47,11.74,0.01,55.91,4.69
30,-0.08,14.87,1.78,-0.06,14.43,1.33,0.05,37.34,3.73,0.00,7.16,0.60,-0.04,174.12,12.20,0.00,54.96,4.52
31,-0.02,15.82,1.61,-0.02,15.04,1.23,0.09,38.50,4.42,0.00,7.16,0.60,-0.01,178.97,11.71,-0.02,54.09,4.46
32,0.04,16.75,1.78,0.01,15.46,1.28,0.08,38.17,4.20,0.06,7.63,0.77,0.02,185.94,13.19,-0.08,50.89,5.19
33,-0.11,14.45,1.97,-0.08,14.18,1.42,-0.01,35.05,3.04,-0.04,6.91,0.60,0.00,181.46,11.94,-0.02,53.83,4.46
34,0.03,16.60,1.73,0.05,16.08,1.49,0.06,37.42,3.77,-0.02,7.04,0.59,0.01,182.51,12.16,0.00,55.34,4.58
35,0.03,16.59,1.72,0.10,16.99,2.08,0.02,36.19,3.26,0.06,7.58,0.75,0.01,182.79,12.21,0.01,55.80,4.66
36,-0.01,16.07,1.62,0.04,15.91,1.42,-0.02,34.49,3.03,0.04,7.44,0.68,0.03,186.23,13.29,-0.03,53.49,4.48
37,0.01,16.36,1.67,-0.08,14.22,1.41,0.10,39.18,4.90,-0.01,7.08,0.59,0.00,181.17,11.90,-0.05,52.18,4.73
38,-0.04,15.60,1.61,-0.01,15.22,1.23,0.05,37.02,3.58,-0.06,6.72,0.64,-0.01,180.45,11.78,0.03,56.64,4.92
39,0.06,17.24,1.99,-0.02,15.06,1.23,0.10,38.97,4.74,-0.01,7.09,0.59,-0.01,180.49,11.78,0.05,57.66,5.34
40,0.04,16.77,1.78,0.00,15.34,1.25,0.01,35.63,3.12,-0.01,7.06,0.59,0.01,182.86,12.23,0.00,55.18,4.55
41,0.00,16.19,1.64,-0.03,14.89,1.23,-0.05,33.74,3.12,0.04,7.46,0.69,0.02,184.61,12.72,-0.02,53.91,4.46
42,-0.03,15.75,1.61,0.01,15.47,1.28,0.07,37.96,4.08,0.02,7.30,0.63,-0.03,176.36,11.82,0.02,56.15,4.76
43,0.03,16.70,1.76,0.05,16.15,1.53,-0.05,33.58,3.15,0.05,7.55,0.73,0.04,189.25,14.71,-0.03,53.39,4.50
44,0.11,17.95,2.42,0.06,16.25,1.58,0.04,36.87,3.51,0.02,7.27,0.62,0.01,183.33,12.32,0.06,58.58,5.81
45,-0.04,15.54,1.62,0.05,16.10,1.50,0.00,35.41,3.08,0.02,7.31,0.63,0.02,186.04,13.23,-0.10,49.93,5.68
46,0.03,16.69,1.76,-0.04,14.77,1.25,-0.01,35.05,3.04,-0.02,7.01,0.59,-0.06,170.75,13.30,0.02,56.39,4.84
47,0.02,16.49,1.69,0.01,15.50,1.28,0.00,35.34,3.07,-0.02,7.03,0.59,0.00,180.72,11.82,0.03,57.04,5.06
48,0.23,20.30,4.42,0.09,16.82,1.95,-0.05,33.76,3.11,0.02,7.33,0.64,0.05,190.21,15.24,0.01,55.52,4.61
49,-0.02,15.89,1.61,-0.01,15.24,1.24,0.01,35.58,3.12,0.03,7.37,0.65,0.01,183.31,12.32,0.07,59.30,6.24
50,-0.08,14.87,1.78,-0.04,14.75,1.25,-0.02,34.67,3.03,-0.02,7.03,0.59,-0.04,174.69,12.05,-0.07,51.64,4.89
51,-0.10,14.55,1.92,-0.01,15.19,1.23,-0.02,34.55,3.03,0.02,7.28,0.62,-0.03,176.66,11.79,-0.04,52.78,4.58
52,-0.05,15.40,1.64,-0.02,15.03,1.23,0.01,35.64,3.13,-0.03,6.97,0.59,0.00,181.90,12.03,-0.04,52.96,4.55
53,-0.02,15.78,1.61,0.06,16.24,1.57,-0.06,33.20,3.26,-0.03,6.98,0.59,0.04,189.31,14.74,0.04,57.09,5.08
54,0.00,16.20,1.64,-0.04,14.70,1.26,0.06,37.65,3.90,0.00,7.13,0.59,-0.01,179.69,11.74,0.03,56.66,4.93
55,-0.01,15.94,1.61,0.02,15.57,1.30,0.07,37.85,4.02,-0.02,7.03,0.59,0.01,183.92,12.49,0.10,60.91,7.36
56,-0.05,15.39,1.64,-0.03,14.94,1.23,-0.08,32.56,3.50,-0.03,6.94,0.59,0.00,181.54,11.96,-0.03,53.62,4.47
57,0.02,16.44,1.68,-0.01,15.19,1.23,0.03,36.51,3.37,-0.01,7.08,0.59,0.00,181.45,11.94,-0.03,53.69,4.47
58,0.22,20.14,4.27,0.14,17.59,2.58,0.06,37.38,3.75,0.04,7.44,0.68,0.05,191.57,16.06,0.02,56.17,4.77
59,0.02,16.51,1.70,-0.03,14.83,1.24,0.02,36.06,3.22,-0.03,6.97,0.59,-0.03,175.90,11.87,0.09,60.60,7.13
60,0.06,17.16,1.95,-0.05,14.63,1.27,0.06,37.39,3.76,0.00,7.14,0.60,0.01,183.16,12.29,-0.01,54.40,4.47
