 ALFAA_R, AMXL_R,BIMBOA_R,CEMEXCPO_R,FEMSAUBD_R,WALMEX_R
-1.621428216,-0.676031557,0.159249499,-0.839847852,-1.142218686,1.139216912
1.118494859,1.760539834,0.670066163,1.40190186,0.634698872,-0.398547297
-1.814070922,-0.430742538,0.051713843,0.023245293,1.121050304,-0.866046918
0.918018165,0.672502255,0.320689564,-0.082284076,0.996251186,-0.218159413
1.163148546,1.67136153,-1.988599209,-1.662001756,2.388624859,0.622854077
-1.53344299,-0.940825274,-0.84134283,-1.458339793,-1.259023015,-0.528051694
-1.138200559,-0.747523033,-0.621090626,-0.593890447,-0.28481035,0.959769088
-1.081257604,-0.2211378,0.184751602,0.520188238,-1.903722311,1.763282808
-1.951421737,-0.794084952,-0.590773851,-1.660038527,-1.576009987,-0.30935279
2.28838893,0.986086122,1.533805671,-0.792735504,1.416609159,1.454059249
-2.142083822,-1.659438661,-1.312220742,0.607230047,-0.45719793,0.430926798
2.197900036,1.041275786,1.805502664,-0.032188356,1.297325606,-0.877612311
1.550004069,-0.39807521,0.086296455,0.061574927,-0.963067304,-0.074151636
0.709259403,-1.664464238,0.628743239,0.808414168,-1.423709665,-1.176281545
0.078172731,-1.547187682,0.005736355,-1.999561875,-2.099346543,-0.376946489
1.007366932,1.575040638,-0.851805766,0.870797571,-0.608546622,-0.160188186
-0.196902882,0.695103611,-1.728506474,-0.192867856,-0.077007071,0.011623771
1.715041258,0.306667264,-0.217242484,0.774837532,-0.092018574,0.68737154
-2.587404797,-1.797796936,-1.253641843,-0.38695756,-1.500131483,-0.281770664
0.736995696,0.03330216,1.528466485,-0.725368226,-0.908122419,1.076144979
0.633823037,-1.770573276,0.325788177,-0.848795283,0.160975941,0.17886735
0.889169272,1.707362756,-0.072980526,0.424255565,2.126249855,0.343843188
-0.832522846,-2.029308062,0.561606487,-0.116071315,-1.040142719,0.576731123
2.285514649,1.537983433,-0.256207603,0.015608475,2.070853233,0.139432157
0.287341657,-0.106492906,-0.721906701,1.1306745,-0.491913413,1.157947383
0.561690417,0.390144067,0.336915991,-1.130272762,-0.592945799,0.643825056
0.875845968,-0.387398666,0.676923998,-0.072028065,-1.935456546,-0.133858013
-2.284474765,0.629758117,-0.657952753,-0.318311731,0.541702828,-0.897409949
-0.219846755,0.758497701,1.560489541,-0.524154022,-0.350442537,0.268041952
-1.583166154,-1.454792316,1.181958946,0.006693504,-1.297037817,-0.053469707
-0.402165169,-0.465422459,1.848835181,0.011386824,-0.437377855,-0.355640732
0.679598594,0.20634788,1.661215355,1.543009188,0.758396668,-1.504057673
-2.129761429,-1.883617305,-0.191798514,-0.867850295,-0.005936891,-0.444400297
0.51524334,1.149560342,1.232278757,-0.40639959,0.175961618,0.075421889
0.496742581,2.476262799,0.50222081,1.398431276,0.22339225,0.230310023
-0.104392337,0.899294375,-0.543495775,0.946440733,0.807098221,-0.563837642
0.234849096,-1.809218764,2.233237789,-0.278679557,-0.054527341,-1.032646732
-0.670712441,-0.165634716,0.997538179,-1.537318458,-0.178884981,0.510936015
1.239114324,-0.426441132,2.112989792,-0.225410794,-0.173508672,0.848635701
0.702890582,0.014300618,0.162451654,-0.35167236,0.234920558,0.020040052
0.033540181,-0.701959292,-1.019947042,1.017430667,0.53331954,-0.416821831
-0.49455436,0.222836299,1.544461494,0.474719252,-0.897120608,0.349816616
0.627077621,1.261381475,-1.123294305,1.283054999,1.309563606,-0.602284585
2.008034049,1.396055231,0.906467567,0.374608567,0.315340983,1.146712412
-0.742396362,1.179188598,0.03012539,0.499849493,0.774613369,-1.863464665
0.619869348,-0.890713166,-0.191720385,-0.511769985,-1.908589883,0.429174093
0.381633063,0.265225228,-0.009872159,-0.450968067,-0.132462355,0.644858239
4.352452722,2.230369919,-1.008211955,0.568682738,1.467249596,0.135703818
-0.321678991,-0.14437159,0.134074315,0.71350132,0.311286155,1.375933506
-1.593197632,-0.933929182,-0.429184216,-0.453302004,-1.193861146,-1.22909167
-2.001000158,-0.215786559,-0.505773096,0.390801096,-0.843928438,-0.816273296
-0.918325342,-0.48348196,0.172447949,-0.66868852,0.070094341,-0.754382613
-0.450709037,1.383199761,-1.36778223,-0.617860643,1.319721653,0.662543633
